title,notes,tags,header,organization,dataset_source,geodata,country,tag_list,doc,All_text
cura ao sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,cura u e ao,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",cura ao sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cura u e ao ,cura ao sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cura u e ao 
cabo verde sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,cabo verde,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",cabo verde sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cabo verde ,cabo verde sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cabo verde 
cuba sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,cuba,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",cuba sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cuba ,cuba sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cuba 
costa rica sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,costa rica,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",costa rica sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators costa rica ,costa rica sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators costa rica 
colombia sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,colombia,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",colombia sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators colombia ,colombia sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators colombia 
china sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,china,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",china sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators china ,china sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators china 
cameroon sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,cameroon,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",cameroon sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cameroon ,cameroon sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cameroon 
chile sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,chile,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",chile sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators chile ,chile sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators chile 
cook islands sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,cook islands,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",cook islands sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cook islands ,cook islands sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators cook islands 
c te ivoire sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,u f te ivoire,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",c te ivoire sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators u f te ivoire ,c te ivoire sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators u f te ivoire 
switzerland sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,switzerland,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",switzerland sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators switzerland ,switzerland sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators switzerland 
congo sustainable development education demographic socioeconomic indicators,contains data from unesco data portal covering various indicators,demographics education indicators socioeconomics sustainable development,stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals,description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved,unesco institute statistics,,congo,"['demographics', 'education', 'indicators', 'socioeconomics', 'sustainable development']",congo sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators congo ,congo sustainable development education demographic socioeconomic indicators stat unit unit measure edu level edu cat grade sector edu edu attain subject wealth quintile infrastr location edu type se bkgrd source fund fund flow imm status ref area time period obs value unit mult obs status freq decimals description unesco specialized agency responsible coordinating international cooperation education science culture communication strengthens ties between nations societies mobilizes wider public that each child citizen access quality education basic human right indispensable prerequisite sustainable development grow live cultural environment rich diversity dialogue where heritage serves bridge between generations peoples fully benefit from scientific advances enjoy full freedom expression basis democracy development human dignity nunesco messages increasing importance today globalized world where interconnections diversity must serve opportunities build peace minds women created t title unesco name unesco is organization true state active image url revision id e d e bc b c b type organization f d dcf b e bffa b c ba a c approval status approved contains data from unesco data portal covering various indicators congo 
